drug	status	target	atc	cas
2-(3-guanidinophenyl)-3-mercaptopropanoic acid	non			
(s)-2-((s)-3-isobutyl-2,5-dioxo-4-quinolin-3-ylmethyl-[1,4]diazepan-1yl)-n-methyl-3-naphtalen-2-yl-propionamide	non			
licofelone	non			156897-06-2
lumiflavin	non			1088-56-8
1-{4-[4-amino-6-(4-methoxyphenyl)furo[2,3-d]pyrimidin-5-yl]phenyl}-3-[2-fluoro-5-(trifluoromethyl)phenyl]urea	non			
lividomycin a	non			36441-41-5
gentamicin c1a	non			26098-04-4
1-acetyl-2-lyso-sn-glycero-3-phosphoethanolamine	non			
n-(4-morpholine)carbonyl-b-(1-naphthyl)-l-alanine-l-leucine boronic acid	non			
1,6-di-o-phosphono-d-mannitol	non			
citraconic acid	non			498-23-7
monogalactosyl-diacylglycerol	non			
2-acetamido-2-deoxy-beta-d-glucopyranose(beta1-4)-2-acetamido-1,6-anhydro-3-o-[(r)-1-carboxyethyl]-2-deoxy-beta-d-glucopyranose-l-alanyl-gamma-d-glutamyl-meso-diaminopimelyl-d-alanine	non			
(s)-mandelonitrile	non			28549-12-4
motuporin	non			141672-08-4
4-[(4-methyl-1-piperazinyl)methyl]-n-[3-[[4-(3-pyridinyl)-2-pyrimidinyl]amino]phenyl]-benzamide	non			
moxalactam (hydrolyzed)	non			
myxothiazol	non			76706-55-3
(2r)-2-{(1r)-2-oxo-1-[(2-thienylacetyl)amino]ethyl}-5,6-dihydro-2h-1,3-thiazine-4-carboxylic acid	non			
nimesulide	approved	PTGS2	M01AX17	51803-78-2
lawsone	non			83-72-7
2-hydroxyquinoline	non			59-31-4
(10e,12z)-octadecadienoic acid	non			2420-56-6
11-trans-13-trans-15-cis-octadecatrienoic acid	non			
oximinoarylsulfonamide	non			
2-(3-oxo-propylsulfanylcarbonyl)-ethanethiolate	non			
oregon green 488 carboxylate	non			
purvalanol a	non			212844-53-6
phosphatidyl ethanol	non			
9-deazainosine-2',3'-o-ethylidenephosphonate	non			
guanosine-2',3'-o-ethylidenephosphonate	non			
propyl-1-phosphate	non			
2-[(3,5-dichloro-4-trioxidanylphenyl)amino]benzoic acid	non			
guanosine-2',3'-o-methylidenephosphonate	non			
2-[2-ethanesulfonylamino-3-(1h-indol-3-yl)-propionylamino]-pentanedioic acid 5-amide 1-(4-carbamim idoyl-benzylamide)	non			
pyrimidine-4,6-dicarboxylic acid bis-(3-methyl-benzylamide)	non			
pyrimidine-4,6-dicarboxylic acid bis-(4-fluoro-3-methyl-benzylamide)	non			
pyrimidine-4,6-dicarboxylic acid bis-[(pyridin-3-ylmethyl)-amide]	non			
n-pyridoxyl-d-glutamic acid-5'-monophosphate	non			
1-n-(4-sulfamoylphenyl-ethyl)-2,4,6-trimethylpyridinium	non			
[4-(3-aminomethyl-phenyl)-piperidin-1-yl]-(5-phenethyl- pyridin-3-yl)-methanone	non			
n-pyridoxyl-2-methyl-l-glutamic acid-5'-monophosphate	non			
n-[1-(4-carbamimidoyl-benzylcarbamoyl)-3-methylsulfanyl-propyl]-3-hydroxy-2-propoxyamino-butyramid	non			
pyrithiamine pyrophosphate	non			
5-quinoxalin-6-ylmethylene-thiazolidine-2,4-dione	non			
o6-(r)-roscovitine, r-2-(6-benzyloxy-9-isopropyl-9h-purin-2-ylamino)-butan-1-ol	non			
1-guanidino-4-(n-nitro-benzoylamino-l-leucyl-l-prolylamino)butane	non			
1-guanidino-4-(n-phenylmethanesulfonyl-l-leucyl-l-prolylamino)butane	non			
methyl (3r)-3-{[(3r)-3-{[(3r)-3-hydroxybutanoyl]oxy}butanoyl]oxy}butanoate	non			
reidispongiolide a	non			
reidispongiolide c	non			
(2r)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9h-purin-2-yl}amino)butan-1-ol	non			
(r)-4-nitrostyrene oxide	non			78038-43-4
sc45647	non			
ethyl (1e)-2-phenyl-n-(sulfooxy)ethanimidothioate	non			
sulfatide	non			
5-hydroxyvaleric acid	non			13392-69-3
(s)-4-nitrostyrene oxide	non			78038-42-3
sphinxolide b	non			
(r)-1-phenylethanol	non			1517-69-7
streptolydigin	non			7229-50-7
suramin	non	P2RY2,SIRT5,FSHR	P01CX02	145-63-1
tanaproget	non	PGR		304853-42-7
tagetitoxin	non			87913-21-1
5-methyltetrahydrofolic acid	non			134-35-0
2,5-bis-o-{3-[amino(imino)methyl]phenyl}-1,4:3,6-dianhydro-d-glucitol	non			
2-o-(4'-amidinophenyl)-5-o-(3''-amidinophenyl)-1,4:3,6-dianhydro-d-sorbitol	non			
2,5-o,o-bis-{4',4''-amidinophenyl}-1,4:3,6-dianhydro-d-sorbitol	non			
1,4:3,6-dianhydro-2-o-(3-carbamimidoylphenyl)-5-o-(4-carbamimidoylphenyl)-d-glucitol	non			
bifonazole	approved		D01AC10	60628-96-8
thenoyltrifluoroacetone	non			326-91-0
inecalcitol	non			163217-09-2
triazolopyridine	non			
thio-atpa	non			
6-hydroxy-5-undecyl-4,7-benzothiazoledione	non			43152-58-5
1-methyl-3-phenyl-1h-pyrazol-5-ylsulfamic acid	non			
cis-vaccenic acid	non			506-17-2
d-erythro-2,3-diaminobutyric acid	non			25023-78-3
verdoheme	non			
(2s)-2,3-diaminobutanoic acid	non			25023-80-7
virginiamycin s1	non			23152-29-6
(5-bromo-4-chloro-3-indolyl)-a-d-mannose	non			
4-nitrophenyl-(6-s-alpha-d-xylopyranosyl)-beta-d-glucopyranoside	non			
neamine	non			3947-65-7
salophen-10-propionate iron chelate	non			
salophen-10-carboxylate iron chelate	non			
salophen iron chelate	non			
benoxaprofen	approved		M01AE06	51234-28-7
bithionol	approved		D10AB01	97-18-7
bunamiodyl	non			1233-53-0
clioquinol	approved		G01AC02	130-26-7
dantron	approved		A06AB03	117-10-2
metamizole	approved		N02BB72	50567-35-6
iproniazid	non		N06AF05	54-92-2
calcium	non			
methapyrilene	non			
methapyrilene	non		R06AC05	91-80-5
nialamide	approved		N06AF02	51-12-7
nomifensine	approved		N06AX04	24526-64-5
oxeladin	approved		R05DB09	468-61-1
oxyphenisatin	non		A06AB01	125-13-3
phenolphthalein	approved		A06AB04	77-09-8
prenylamine	approved		C01DX52	390-64-7
calcium	non			
thenalidine	non			
thenalidine	approved		R06AX03	86-12-4
urethane	approved			51-79-6
zomepirac	non		M01AB04	33369-31-2
lysergic acid diethylamide	non			50-37-3
buformin	non		A10BA03	692-13-7
tienilic acid	non		C03CC02	40180-04-9
zimelidine	approved		N06AB02	56775-88-3
methaqualone	non		N05CX02	72-44-6
rapacuronium	approved	CHRM2		465499-11-0
maraviroc	approved	CCR5	J05AX09	376348-65-1
amineptine	non		N06AA19	57574-09-1
clofedanol	approved	HRH1	R05DB10	791-35-5
cyclandelate	approved		C04AX01	456-59-7
cyproterone acetate	approved	AR	G03HB01	427-51-0
debrisoquine	approved	SLC6A2	C02CC04	1131-64-2
calcium	non			
flunarizine	non			
flunarizine	approved	CACNA1G,CACNA1H,CACNA1I,CALM1	N07CA03	52468-60-7
fluspirilene	approved	DRD2	N05AG01	1841-19-6
mepenzolate	approved	CHRM1,CHRM3	A03AB12	25990-43-6
tetrabenazine	approved	SLC18A2	N07XX06	58-46-8
ixabepilone	approved	TUBB3	L01DC04	219989-84-1
celiprolol	approved	ADRB1,ADRB2	C07AB08	56980-93-9
roxadustat	non		B03XA05	808118-40-3
azd0947	non			
cediranib	non		L01XE32	288383-20-0
posizolid	non			252260-06-3
biricodar	non			159997-94-1
implitapide	non			177469-96-4
binodenoson	non			144348-08-3
febuxostat	approved	XDH	M04AA03	144060-53-7
dronedarone	approved	ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,KCNH2,CACNA1C,CACNA1D,CACNA1F,CACNA1S,CACNB1,CACNB2,CACNB3,CACNB4,KCNK2,SCN5A,KCNJ3,KCNQ1,KCNJ12,SLC8A1,KCND3	C01BD07	141626-36-0
dexloxiglumide	non			119817-90-2
brasofensine	non			171655-91-7
tirapazamine	non			27314-97-2
zanapezil	non			142852-50-4
isatoribine	non			122970-40-5
atp	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
nebivolol	non			
nebivolol	approved	ADRB1	C07FB12	118457-14-0
merimepodib	non			198821-22-6
lefradafiban	non			149503-79-7
huperzine a	approved			102518-79-6
omacetaxine mepesuccinate	approved	RPL3	L01XX40	26833-87-4
halofuginone	non			55837-20-2
lintitript	non			136381-85-6
nilotinib	non			
nilotinib	approved	ABL1	L01XE08	641571-10-0
olcegepant	non			204697-65-4
oleoyl-estrone	non			180003-17-2
lorcaserin	approved		A08AA11	616202-92-7
osanetant	non			160492-56-8
piboserod	non			152811-62-6
picoplatin	non			181630-15-9
pralnacasan	non			192755-52-5
vildagliptin	approved	DPP4	A10BH02	274901-16-5
voacamine	non			3371-85-5
voglibose	non	MGAM	A10BF03	83480-29-9
vatalanib	non			
vatalanib	non			212141-54-3
enoximone	approved	PDE3A	C01CE03	77671-31-9
elacridar	non			143664-11-3
edotecarin	non			174402-32-5
darusentan	non			171714-84-4
dapoxetine	non		G04BX14	119356-77-3
cilansetron	non		A03AE03	120635-74-7
calanolide a	non			142632-32-4
brecanavir	non			313682-08-5
bifeprunox	non			350992-10-8
bicifadine	non			71195-57-8
calcium	non			
bepotastine	non			
bepotastine	approved	HRH1		125602-71-3
becocalcidiol	non			524067-21-8
phenserine	non			101246-66-6
azd3409	non			
vapreotide	non	SSTR2,SSTR5	H01CB04	103222-11-3
pegaptanib	approved	VEGFA	S01LA03	222716-86-1
milnacipran	approved	SLC6A4,SLC6A2	N06AX17	92623-85-3
lucinactant	approved			825600-90-6
phylloquinone	non			
calcium	non			
ximelagatran	non			
ximelagatran	approved	F2	B01AE05	192939-46-1
nesiritide	approved		C01DX19	124584-08-3
thymalfasin	non			62304-98-7
galiximab	non	CD80		357613-77-5
pagoclone	non			133737-32-3
amolimogene	non			676269-70-8
tesmilifene	non	ABCB1		98774-23-3
sitimagene ceradenovec	non		L01XX37	898830-54-1
flibanserin	approved	HTR1A,HTR2A,DRD4	G02CX02	167933-07-5
sitamaquine	non			57695-04-2
oxibendazole	non			20559-55-1
oritavancin	approved		J01XA05	171099-57-3
stannsoporfin	non			106344-20-1
g17dt	non			
idronoxil	non			81267-65-4
renzapride	non			112727-80-7
ceftobiprole	approved			209467-52-7
alfimeprase	non			259074-76-5
clevidipine	approved		C08CA16	167221-71-8
dirucotide	non			152074-97-0
rhthrombin	approved			1270043-60-1
itopride	non		A03FA07	122898-67-3
desmoteplase	non			145137-38-8
neramexane	non			219810-59-0
xp12b	non			
dg031	non			
permethrin	approved	SCN1A	P03AC54	52645-53-1
afamelanotide	approved	MC1R	D02BB02	75921-69-6
defibrotide	approved		B01AX01	83712-60-1
eritoran	non			185955-34-4
rifalazil	non			129791-92-0
tagatose	non			87-81-0
ospemifene	approved	ESR1	G03XC05	128607-22-7
crofelemer	approved	CFTR,ANO1	A07XA06	148465-45-6
tamibarotene	non	RARA,RARB		94497-51-5
lx201	non			
acadesine	non		C01EB13	2627-69-2
hemoglobin	approved			9008-02-0
iloperidone	approved	HTR2A,DRD2	N05AX14	133454-47-4
altropane	non			180468-34-2
lofexidine	approved	ADRA2A	N07BC04	31036-80-3
pexelizumab	non			219685-93-5
ranpirnase	non			196488-72-9
pirfenidone	approved		L04AX05	53179-13-8
ramoplanin	non			76168-82-6
ezogabine	approved		N03AX21	150812-12-7
tecadenoson	non			204512-90-3
pumactant	non			258856-56-3
afelimomab	non		L04AB03	156227-98-4
azimilide	non			149908-53-2
epratuzumab	non			205923-57-5
verpasep caltespen	non			295371-00-5
tipifarnib	non			192185-72-1
troxacitabine	non			145918-75-8
bectumomab	non			158318-63-9
rhgad65	non			
oregovomab	non			213327-37-8
lucanthone	non	TOP2A,APEX1,TOP1		479-50-5
ph94b	non			
nv1020	non			
lesopitron	non			132449-46-8
reglitazar	non			170861-63-9
canfosfamide	non			158382-37-7
lerafaon	non			
rimiducid	non			195514-63-7
banoxantrone	non			136470-65-0
m40403	non			
plitidepsin	non		L01XX57	137219-37-5
sp1049c	non			
avr118	non			
lemuteporfin	non			
cg7870	non			
talampanel	non			161832-65-1
denufosol	non			211448-85-0
tigapotide	non			848084-83-3
zyc300	non			
p113d	non			
ign311	non			
ty800	non			
xl784	non			
ap5346	non			
at1022	non			
satraplatin	non		L01XA04	129580-63-8
atl1102	non			
agro100	non			301636-59-9
mbo7133	non			
aerolef	non			
psn9301	non			
imexon	non			59643-91-3
peptide yy (3-36)	non			123583-37-9
adecatumumab	non			503605-66-1
apadenoson	non			250386-15-3
sgs-742	non			123690-78-8
taberminogene vadenovec	non			943980-47-0
xen2174	non			
ingenol mebutate	approved		D06BX02	75567-37-2
xl999	non			921206-68-0
belinostat	approved	HDAC1	L01XX49	866323-14-0
ataluren	approved		M09AX03	775304-57-9
ysil6	non			
migalastat	approved		A16AX14	108147-54-2
lc16m8	non			
besifovir dipivoxil	non			441785-26-8
emz702	non			
amonafide	non			69408-81-7
atl1101	non			
cta018	non			
arimoclomol	non			289893-25-0
dg041	non			
lancovutide	non			1391-36-2
rev131	non			
incb7839	non			
ularitide	non			118812-69-4
eprotirome	non			355129-15-6
grn163l	non			
anatibant	non			209733-45-9
indacaterol	approved	ADRB2	R03AC18	312753-06-3
mva3000	non			
sgs518	non			
gsk159797	non			
psn357	non			
obinepitide	non			348119-84-6
v1003	non			
cx-717	non			867276-98-0
cannabinor	non			573981-31-4
ddp733	non			
adl5859	non			
bzl101	non			
mf101	non			
mb-07803	non			882757-24-6
an0128	non			
rg2417	non			
egs21	non			
erdosteine	approved		R05CB15	84611-23-4
ily101	non			
r1626	non			
gft14	non			
mitoquinone	non			
incb13739	non			
atg002	non			
atg003	non			
adx10059	non			
ace393	non			
av608	non			
tg-100801	non			867331-82-6
fenretinide	non			65646-68-6
slv319	non			
aer001	non			
hy10275	non			
obe101	non			
jb991	non			
arx201	non			
abaloparatide	approved	PTH1R		247062-33-5
tm30339	non			
ganaxolone	non			38398-32-2
tetrathiomolybdate	non			16330-92-0
vpm4001	non			
fp0011	non			
m0002	non			
cdp323	non			
ax200	non			
cimicoxib	non			265114-23-6
ly2140023	non			
labetuzumab	non			219649-07-7
leptin	non			169494-85-3
ancrod	approved		B01AD09	9046-56-4
prinomastat	non			192329-42-3
matuzumab	non			339186-68-4
rupintrivir	non			223537-30-2
an-9	non			122110-53-6
asimadoline	non			153205-46-0
pleconaril	non		J05AX06	153168-05-9
ir208	non			
16-bromoepiandrosterone	non			28507-02-0
eht899	non			
trabectedin	approved		L01CX01	114899-77-3
vir201	non			
fontolizumab	non			326859-36-3
ap5280	non			
105ad7	non			
ehc18	non			
nn344	non			
thymectacin	non			232925-18-7
ign301	non			
r1204	non			
rilapladib	non			412950-08-4
at1391	non			
1d09c3	non	HLA-DRA		791073-97-7
r1295	non			
gemcabene	non			183293-82-5
arc183	non			
sc12267	non			
pym50018	non			
ana971	non			
aminocandin	non			227472-48-2
elsamitrucin	non			97068-30-9
incb3284	non			
ttp889	non			
nd1251	non			
vp025	non			
tanespimycin	non			75747-14-7
vibriolysin	non			69598-88-5
bavituximab	non			648904-28-3
lobeline	non			90-69-7
adpedf	non			
cr002	non			
rav12	non			
ly2181308	non			
nd7001	non			
oxi-4503	non			288847-35-8
pev3a	non			
th0318	non			
xl820	non			1123889-88-2
cyt997	non			
cg0070	non			
xl844	non			
cad106	non			
tst10088	non			
ngx267	non			503431-81-0
pretomanid	approved			187235-37-6
cr665	non			228546-92-7
sl017	non			
kc706	non			
pm02734	non			
ccx915	non			
topsalysin	non			917121-25-6
elafin	non			
pv903	non			
cmlvax100	non			
ly2275796	non			
apd668	non			
pdpsc18	non			
vintafolide	non		L01CA06	742092-03-1
at9283	non			
benzimate	non			
e-2012	non			870843-42-8
at3022	non			
ptc299	non			
cx501	non			
dg051	non			
dlo6001	non			
dlo6002	non			
lx6171	non			
bta798	non			
as1409	non			
mln0415	non			
xl228	non			
tro19622	non			
sq-109	non			502487-67-4
elafibranor	non			923978-27-2
kd3010	non			934760-90-4
epc2407	non			
xl281	non			
atl146e	non			
mb07811	non			
kb002	non			
adc4022	non			
acr325	non			
sofalcone	non			64506-49-6
cyc116	non			
lx1031	non			
at2220	non			
v24343	non			
egaptivon pegol	non			934868-74-3
spp1148	non			
xl418	non			
cx157	non			
sd118	non			
rozrolimupab	non			909402-77-3
sf1126	non			
ps386113	non			
he3286	non			1001100-69-1
kd7040	non			
gmx1777	non			
pn0621	non			
crisaborole	approved		D11AH06	906673-24-3
alisertib	non			1028486-01-2
kb001	non			
pracinostat	non			929016-96-6
rep8839	non			
am103	non			
bta9881	non			
apd791	non			
rdea806	non			
beraprost	non		B01AC19	88430-50-6
ac3056	non			
tetrodotoxin	non			4368-28-9
ap1081	non			
lgd2941	non			
nrp409	non			
ren001	non			
rhmbl	non			
cobimetinib	approved	MAP2K1	L01XE38	934660-93-2
xl765	non			
nuc b1000	non			
xl019	non			
g4544	non			
silver sulfadiazine	approved		D06BA01	22199-08-2
methsuximide	approved	CACNA1G	N03AD03	77-41-8
favid	non			
fenoxaprop-ethyl	non			66441-23-4
telapristone acetate	non			198414-31-2
fibrinolysin	non		B01AD05	9004-09-5
ronacaleret	non			753449-67-1
neocartilage	non			
interferon alfa	non			
glatiramer	approved		L03AX13	28704-27-0
gallium nitrate	approved	RRM2,ATP6V1B2,BGLAP,IL1B		13494-90-1
oxypurinol	non			2465-59-0
caprospinol	non			4952-56-1
npi 32101	non			
ecabet	non	NOXO1		33159-27-2
ibudilast	non	PDE4A,PDE4B,PDE4C	R03DC04	50847-11-5
ico-007	non			
rotigotine	approved	DRD3,DRD4,DRD2	N04BC09	99755-59-6
samarium (153sm) lexidronam	approved		V10BX02	122575-21-7
hepatitis b immune globulin	approved			
mcc	non			
ca4p	non			
sb-249553	non			
anecortave acetate	non			7753-60-8
tarenflurbil	non			51543-40-9
spp 301	non			
idm-1	non			
idm-2	non			
vandetanib	approved		L01XE12	443913-73-3
eldecalcitol	non			104121-92-8
motexafin lutetium	non			246252-04-0
paclitaxel docosahexaenoic acid	non			199796-52-6
tetomilast	non			145739-56-6
keyhole limpet hemocyanin	approved			
pti-801	non			615580-67-1
lax-101	non			909712-41-0
oms-103hp	non			
girentuximab	non			916138-87-9
cintredekin besudotox	non			
alferminogene tadenovec	non			473553-86-5
anx-510	non			
tp-508	non			
fp-1096	non			
ecallantide	approved	KLKB1	B06AC03	460738-38-9
nvs antibody	non			
mp4	non			
mc-1	non			
pimavanserin	approved	HTR2A	N05AX17	706779-91-1
tak-475	non			
oportuzumab monatox	non			945228-48-8
atg-fresenius s	non			
peg-uricase	non			
ingn 201	non			
ingn 225	non			
inkp-102	non			
ranirestat	non			147254-64-6
vgv-1	non			
mdx-1379	non			
altu-135	non			
romiplostim	approved	MPL	B02BX04	267639-76-9
tc-5231	non			
obiltoxaximab	approved		J06BB22	1351337-07-9
sot-107	non			
mn-305	non			
atl-2502	non			
arundic acid	non			185517-21-9
ciliary neurotrophic factor	non			133423-39-9
so-101	non			
wl-1002	non			
dexlansoprazole	approved	ATP4A,ATP4B	A02BC06	138530-94-6
fx-1006a	non			
cmc 001	non			
sr-123781a	non			
ssr-126517e	non			
lic-477	non			
rox-888	non			
actelion-1	non			
ragweed pollen extract	approved			
hzt-501	non			
acr-16	non			
rindopepimut	non			1108208-65-6
chlorfenson	non			80-33-1
dotmp ho-166	non			633308-23-3
histamine	approved	HRH1,HRH2,HRH3	L03AX14	51-45-6
iodine	approved	SLC5A5	D08AG03	7553-56-2
pimagedine	non			79-17-4
carbopol 974p	non			151687-96-6
pro 2000	non			29321-75-3
regramostim	non			127757-91-9
ae-941	non			
tetrachlorodecaoxide	approved			92047-76-2
ins 316	non			
liposomal prostaglandin e1	non			
nov-002	non			
corticorelin	non		V04CD04	86784-80-7
amibegron	non			121524-08-1
albinterferon alfa-2b	non		L03AB12	472960-22-8
c31g	non			
succinobucol	non			216167-82-7
qs-21	non			
cep-1347	non			
azd 3355	non			
xtl-001	non			339991-45-6
gti-2501	non			
tbc-3711	non			
emricasan	non			254750-02-2
ncx 701	non			
ncx 1022	non			571186-50-0
vb2-011	non			
talmapimod	non			309913-83-5
tifuvirtide	non			251562-00-2
pipendoxifene	non			198480-55-6
osi-461	non			
cardarine	non			317318-70-0
gw 468816	non			
gw 597599	non			
adx-10061	non			
gallium maltolate	non			108560-70-9
cp-122721	non			145742-28-5
opc-14523	non			145969-30-8
org-34517	non			189035-07-2
canertinib	non			267243-28-7
talactoferrin alfa	non			308240-58-6
idd-3	non			
motexafin gadolinium	non			246252-06-2
cat-213	non			
vlts-589	non			
mln-977	non			175212-04-1
das-431 iv	non			
rglp-1	non			
abt-510	non			251579-55-2
nav 1800	non			
idm-4	non			
idd-1	non			
srp 299	non			
avac	non			
etiprednol dicloacetate	non			199331-40-3
adl 10-0101	non			
iroxanadine	non			276690-58-5
ta-nic	non			
ljp 1082	non			
avi-4557	non			
px-12	non			141400-58-0
fm-vp4	non			
smilagenin	non			126-18-1
p54	non			
ph-284	non			
paliroden	non			188396-77-2
sr 121463	non			
etc-588	non			
osi-7904l	non			
pozanicline	non			161417-03-4
briakinumab	non		L04AC09	339308-60-0
ezatiostat	non			168682-53-9
opc-28326	non			
chlorotoxin i-131	non			
iss-1018	non			937402-51-2
nox-700	non			
tandutinib	non			387867-13-2
r673	non			
r667	non			
r411	non			
r450	non			
vx-702	non			745833-23-2
sgn-30	non			
human interferon omega-1	non			
qr-334	non			
t487	non			
golotimod	non			229305-39-9
wx-uk1	non			255374-84-6
muc1 dendritic cell vaccine	non			
pradefovir mesylate	non			625095-61-6
czen 002	non			
pbi-1402	non			
recombinant alpha 1-antitrypsin	non			
atp	non			
irinotecan	non			
mesoheme	non			
uridine-5'-diphosphate	non			
7-ethyl-10-hydroxycamptothecin	non			
atp	non			
irinotecan	non			
mesoheme	non			
uridine-5'-diphosphate	non			
7-ethyl-10-hydroxycamptothecin	non			
7-ethyl-10-hydroxycamptothecin	non			86639-52-3
pcl-016	non			
mdx-018	non			
adh-1	non			
custirsen	non			890056-27-6
technetium tc-99m ciprofloxacin	non			374107-43-4
aca 125	non			
amg-131	non	PPARG		315224-26-1
atn-161	non			
epicept np-1	non			
nx-1207	non			
elacytarabine	non			188181-42-2
pg-530742	non			
otelixizumab	non			881191-44-2
kw-7158	non			
tak-428	non			
avn-944	non			
amd-070	non			558447-26-0
ag-858	non			
nm-702	non			
isis 113715	non			
vx-765	non			
li-301	non			
piclidenoson	non			152918-18-8
mm-093	non			
atiprimod	non			123018-47-3
cobiprostone	non			333963-42-1
pi-0824	non			864272-70-8
managlinat dialanetil	non			280782-97-0
budiodarone	non			335148-45-3
mimopezil	non			180694-97-7
telaprevir	approved		J05AP02	402957-28-2
pelitinib	non			257933-82-7
ew-a-401	non			
mipomersen	approved		C10AX11	1000120-98-8
cpg 10101	non			957255-05-9
alpha-pyrrolidinononanophenone	non			13415-58-2
bms-488043	non			452296-83-2
qr-333	non			
alanosine	non			5854-93-3
brivaracetam	approved	SV2A,SCN1A	N03AX23	357336-20-0
naronapride	non			860174-12-5
amg 108	non			877879-38-4
ino-1001	non			501364-91-6
iratumumab	non			640735-09-7
tg100-115	non	PIK3CD,PIK3CG		677297-51-7
regrelor	non			787548-03-2
enokizumab	non			909875-08-7
nf-kappab decoy	non			
delcasertib	non			949100-39-4
naluzotan	non			740873-06-7
pbt-1033	non			747408-78-2
motesanib	non			453562-69-1
ramucirumab	approved	KDR	L01XC21	947687-13-0
tru-015	non			1169717-01-4
praconase	non			1186547-12-5
verubulin	non			827031-83-4
facinicline	non			677306-35-3
bedoradrine	non	ADRB2		194785-19-8
blarcamesine	non			195615-83-9
cantuzumab ravtansine	non			868747-45-9
farletuzumab	non	FOLR1		896723-44-7
prx-03140	non			869493-21-0
fibroblast growth factor-1	non			106096-92-8
beclanorsen	non			1072859-54-1
prx-08066	non			
mkc-1	non			125313-92-0
apilimod	non			541550-19-0
4'-methylene-5,8,10-trideazaaminopterin	non			238074-89-0
avi-4065	non			
teverelix	non	GNRHR		151272-78-5
ctce-9908	non			1030384-98-5
retaspimycin	non			857402-23-4
sodium stibogluconate	approved	TOP1	P01CB02	16037-91-5
alt-2074	non			173026-17-0
glypromate	non			32302-76-4
asvasiran	non			870094-26-1
ddp-225	non			476148-82-0
irx-2	non			951209-71-5
kp-1461	non			815588-85-3
larazotide	non			258818-34-7
ntx-265	non			
ot-551	non			627085-11-4
vtp-201227	non			
irx-5183	non			367273-07-2
veltuzumab	non			728917-18-8
faropenem medoxomil	non			141702-36-5
d-jnki-1	non			1198367-70-2
np-50301	non			
levoketoconazole	non			142128-57-2
palifosfamide	non			31645-39-3
atl-104	non			
ac-100	non			
ep-2104r	non			
apremilast	approved		L04AA32	608141-41-9
slx-4090	non			913541-47-6
ustekinumab	approved	IL12B,IL12B	L04AC05	815610-63-0
sotirimod	non			227318-75-4
iodofiltic acid i-123	non			123748-56-1
fx06	non			
sivifene	non			2675-35-6
bl-1020	non			
crx-119	non			
nps-2143	non			284035-33-2
gi-4000	non			
als-08	non			
13-deoxydoxorubicin	non			628290-43-7
gts-21	non			148372-04-7
gantacurium	non	CHRNA3		758669-50-0
azd-9684	non			
ly-517717	non			313489-71-3
flovagatran	non			871576-03-3
maxy-g34	non			
elesclomol	non			488832-69-5
evt 201	non			308239-86-3
cgc-11047	non			
alks 29	non			
alpha-conotoxin vc 1.1	non			467428-30-4
pmi-001	non			
strontium malonate	non			183133-72-4
cefilavancin	non			722454-12-8
miv-701	non			
varespladib methyl	non			172733-08-3
vapitadine	non			793655-64-8
cyt006-angqb	non			
rpi-78m	non			
ags-005	non			
ags-004	non			
crx-139	non			
pf-03187207	non			
r-851	non			
mpi-674	non			
ave-1625	non			
rp01	non			
alks 27	non			
vsf-173	non			
iph 1101	non			
bf-37	non			
pac-113	non			
dnb-001	non			
cyt007-tnfqb	non			
atx-201	non			
acp-104	non			
andrographolide	non			5508-58-7
alkaline phosphatase	non			
lcp-atorfen	non			
lll-3348	non			
rabeximod	non			872178-65-9
trastuzumab emtansine	approved	ERBB2	L01XC14	1018448-65-1
crx-401	non			
ic41	non			
thrombomodulin alfa	approved	F2		120313-91-9
col-118	non			
oglufanide	non			38101-59-6
atx-101	non			
lgd-1550	non			
irofulven	non			158440-71-2
lm-609	non			
mx6	non			
sr 140333	non			
perflubron	non		V08CX01	423-55-2
arylacenamide	non			132173-07-0
pro-542	non			
serelaxin	non		C01DX21	99489-94-8
daglutril	non			182821-27-8
tnx-901	non			
gem-231	non			255810-66-3
nox-100	non			
alethine	non			646-08-2
gti 2040	non			
isis 14803	non			
nadh	non			
testosterone	non			
estrone	non			
estradiol	non			
calcium	non			
androstenedione	non			
formic acid	non			
mesoheme	non			
uridine-5'-diphosphate	non			
estrone sulfate	non			
prasterone sulfate	non			
5beta-dihydrotestosterone	non			
nadh	non			
testosterone	non			
estrone	non			
estradiol	non			
calcium	non			
androstenedione	non			
formic acid	non			
mesoheme	non			
uridine-5'-diphosphate	non			
estrone sulfate	non			
prasterone sulfate	non			
5beta-dihydrotestosterone	non			
nadh	non			
testosterone	non			
estrone	non			
estradiol	non			
calcium	non			
androstenedione	non			
formic acid	non			
mesoheme	non			
uridine-5'-diphosphate	non			
estrone sulfate	non			
prasterone sulfate	non			
5beta-dihydrotestosterone	non			
prasterone sulfate	non			651-48-9
ns-2359	non			195875-68-4
cositecan	non			203923-89-1
hgtv-43	non			
pi-88	non			
ta-cin	non			
99mtc-glucarate	non			
hsv-2 theracine	non			
abiraterone	approved	CYP17A1	L02BX03	154229-19-3
gpi-1485	non			186268-78-0
gnrh pharmaccine	non			
laromustine	non			173424-77-6
sgn-15	non			
